sessionId	userId	timestamp	mode	activity	shape_n	weight_n	flow_n	kt	baselineReady	note								
sess_ys157bttz	anonymous	2026-03-24T02:41:18.903Z	B	Victory	1	0.6641441109	0.8613521892	0.5641843781	TRUE	0.6903	0.7653	0.4526	0.6721	0.5742	0.4755	0.474	0.4829	left
sess_ys157bttz	anonymous	2026-03-24T02:41:20.561Z	B	Victory	1	1	0.5947096346	0.7918516279	TRUE	0.5905	0.9146	0.2617	0.6149	0.5748	0.4731	0.4706	0.4923	right
sess_ys157bttz	anonymous	2026-03-24T02:41:21.063Z	B	Victory	1	0.8788229247	0.2483567883	0.864604294	TRUE	0.7514	0.6422	0.5384	0.5217	0.5786	0.4832	0.469	0.482	left
sess_ys157bttz	anonymous	2026-03-24T02:41:23.361Z	B	Heart	0.3342965832	0.8369290335	0.2315653158	0.6872978987	TRUE	0.5123	0.428	0.5381	0.4061	0.5768	0.479	0.4694	0.4873	
sess_ys157bttz	anonymous	2026-03-24T02:41:24.081Z	B	Heart	0	0.04394691755	0.4521687505	0.2093197043	TRUE	0.5307	0.3901	0.5306	0.3907	0.5727	0.4731	0.4778	0.4812	
sess_ys157bttz	anonymous	2026-03-24T02:41:26.279Z	B	Victory	0	0	1	0	TRUE	0.534	0.3922	0.5341	0.389	0.5748	0.4762	0.4737	0.4872	right
sess_ys157bttz	anonymous	2026-03-24T02:41:27.608Z	B	Heart	0	0.7100059802	0.4323857696	0.4826673727	TRUE	0.5284	0.3766	0.5293	0.376	0.5747	0.4715	0.4782	0.4763	
sess_ys157bttz	anonymous	2026-03-24T02:41:30.860Z	B	Victory	0	0	1	0	TRUE	0.541	0.4488	0.5412	0.4487	0.578	0.4785	0.4806	0.474	left
sess_ys157bttz	anonymous	2026-03-24T02:41:32.005Z	B	Heart	0	0.1192163317	0.4364744119	0.2449204885	TRUE	0.5426	0.7891	0.5441	0.78	0.601	0.4829	0.4896	0.4762	
sess_ys157bttz	anonymous	2026-03-24T02:41:37.011Z	B	Heart	0	0	1	0	TRUE	0.2203	0.8979	0.2076	0.8779	0.2128	0.7581	0.1641	0.7577	
sess_ys157bttz	anonymous	2026-03-24T02:41:41.402Z	B	Heart	0	0	1	0	TRUE	0.2146	0.8991	0.2074	0.878	0.2136	0.7582	0.1668	0.7613	
sess_ys157bttz	anonymous	2026-03-24T02:41:47.327Z	B	Dance_Continuous	0	0	1	0	TRUE	0.2209	0.8953	0.2073	0.8743	0.2154	0.7573	0.1663	0.7605	30s_Interval_AutoLog
sess_ys157bttz	anonymous	2026-03-24T02:41:52.854Z	B	Heart	0.09909631245	0	0.7080384746	0.126960612	TRUE	0.6846	0.8094	0.65	0.8279	0.6985	0.7106	0.6557	0.7196	
sess_ys157bttz	anonymous	2026-03-24T02:42:08.911Z	B	Heart	0	0	1	0	TRUE	0.9239	0.8006	0.8905	0.8292	0.947	0.702	0.8945	0.7139	
sess_ys157bttz	anonymous	2026-03-24T02:42:11.158Z	B	Heart	0	0	1	0	TRUE	0.9227	0.8298	0.8901	0.8275	0.946	0.7007	0.8963	0.7133	
sess_ys157bttz	anonymous	2026-03-24T02:42:17.340Z	B	Dance_Continuous	0	0	1	0	TRUE	0.9163	0.7901	0.8978	0.8355	0.9444	0.7044	0.8944	0.7168	30s_Interval_AutoLog
sess_ys157bttz	anonymous	2026-03-24T02:42:17.614Z	B	Fireworks_Explosion	0	0	1	0	TRUE	0.9218	0.8052	0.889	0.8285	0.9444	0.7052	0.8953	0.7137	left
sess_ys157bttz	anonymous	2026-03-24T02:42:18.072Z	B	Victory	0	0	1	0	TRUE	0.9382	0.8023	0.8872	0.8293	0.9448	0.7009	0.8942	0.711	left
sess_ys157bttz	anonymous	2026-03-24T02:42:18.865Z	B	Heart	0	0	0.8920119308	0.03779582423	TRUE	0.9656	0.788	0.9236	0.8275	0.9453	0.6962	0.8919	0.7092	
sess_ys157bttz	anonymous	2026-03-24T02:42:26.879Z	B	Heart	1	0.143367452	1	0.3073469808	TRUE	0.4254	0.8802	0.4139	0.8597	0.4017	0.741	0.371	0.7708	
sess_ys157bttz	anonymous	2026-03-24T02:42:47.405Z	B	Dance_Continuous	0	0	1	0	TRUE	0.8917	0.8251	0.8901	0.8149	0.9287	0.6997	0.8799	0.7022	30s_Interval_AutoLog
sess_ys157bttz	anonymous	2026-03-24T02:42:53.338Z	B	Fireworks_Explosion	0	0	1	0	TRUE	0.9014	0.796	0.9171	0.7909	0.9318	0.6991	0.8835	0.699	left
sess_ys157bttz	anonymous	2026-03-24T02:42:54.204Z	B	Fireworks_Explosion	0	0	1	0	TRUE	0.8956	0.8341	0.899	0.836	0.9302	0.6978	0.8804	0.6995	left
sess_ys157bttz	anonymous	2026-03-24T02:43:01.502Z	B	Heart	0	0	1	0	TRUE	0.8954	0.8425	0.9016	0.8435	0.9279	0.6965	0.8789	0.7035	
sess_ys157bttz	anonymous	2026-03-24T02:43:03.980Z	B	Fireworks_Explosion	0	0	1	0	TRUE	0.895	0.8329	0.8979	0.8364	0.9266	0.6918	0.8775	0.7002	right
sess_ys157bttz	anonymous	2026-03-24T02:43:07.298Z	B	Heart	1	0	0.7265393917	0.3457112129	TRUE	0.8962	0.8248	0.8884	0.7233	0.9251	0.6916	0.8771	0.6971	
sess_ys157bttz	anonymous	2026-03-24T02:43:08.113Z	B	Fireworks_Explosion	0.9380879088	0	1	0.2345219772	TRUE	0.8958	0.8339	0.8878	0.7423	0.9246	0.6909	0.8762	0.6976	left
sess_ys157bttz	anonymous	2026-03-24T02:43:09.398Z	B	Heart	0.8874188689	0	0.6621806157	0.3400915017	TRUE	0.9018	0.8192	0.8899	0.733	0.925	0.6915	0.8773	0.6989	
sess_ys157bttz	anonymous	2026-03-24T02:43:13.184Z	B	Heart	0.4480251686	0	1	0.1120062921	TRUE	0.8897	0.8243	0.8952	0.8209	0.9279	0.7099	0.8794	0.7122	
sess_ys157bttz	anonymous	2026-03-24T02:43:15.937Z	B	Heart	0.7097664883	0	1	0.1774416221	TRUE	0.921	0.8273	0.9415	0.8671	0.9355	0.8291	0.9387	0.8651	
sess_ys157bttz	anonymous	2026-03-24T02:43:28.289Z	B	Dance_Continuous	0.08371710991	0	1	0.02092927748	TRUE	0.55	0.7417	0.5801	0.7218	0.5353	0.5786	0.4282	0.5726	30s_Interval_AutoLog
sess_ys157bttz	anonymous	2026-03-24T02:43:29.072Z	B	Victory	0	0	1	0	TRUE	0.607	0.948	0.4334	0.7941	0.5574	0.6304	0.3827	0.5993	right
sess_ys157bttz	anonymous	2026-03-24T02:43:31.017Z	B	Victory	0.08811716745	0.542724784	0.876615491	0.2823037836	TRUE	0.4428	0.7475	0.4241	0.2773	0.6088	0.5449	0.3835	0.5255	left
sess_ys157bttz	anonymous	2026-03-24T02:43:32.524Z	B	Fireworks_Explosion	0	0.9102490352	0.3615752604	0.5875482729	TRUE	0.5895	0.5366	0.388	0.6191	0.6197	0.5548	0.3886	0.555	right
sess_ys157bttz	anonymous	2026-03-24T02:43:33.208Z	B	Fireworks_Explosion	0.975278254	0	1	0.2438195635	TRUE	0.6559	1.0167	0.5177	0.4464	0.5635	0.6136	0.3797	0.5853	right
sess_ys157bttz	anonymous	2026-03-24T02:43:33.627Z	B	Heart	0.4335646014	0	1	0.1083911504	TRUE	0.4994	0.5122	0.5466	0.5206	0.4844	0.5857	0.4105	0.5821	
sess_ys157bttz	anonymous	2026-03-24T02:43:34.033Z	B	Heart	0.4344085061	0	0.7238352242	0.2052597981	TRUE	0.522	0.5342	0.5708	0.4966	0.5065	0.5876	0.4536	0.6183	
sess_ys157bttz	anonymous	2026-03-24T02:43:37.900Z	B	Heart	0.2826330726	0	0.7200600401	0.1686372541	TRUE	0.5031	0.3418	0.5246	0.3319	0.5831	0.607	0.4349	0.6142	
sess_ys157bttz	anonymous	2026-03-24T02:43:40.726Z	B	Victory	0.1958719874	0.07021174333	0.6360708938	0.2044278814	TRUE	0.6225	0.387	0.4353	0.632	0.5889	0.6235	0.4238	0.6274	left
sess_ys157bttz	anonymous	2026-03-24T02:43:44.831Z	B	Victory	1	0.4098776955	0.6640477178	0.531534377	TRUE	0.6165	0.6382	0.3514	1.0262	0.5876	0.6385	0.4107	0.6408	left
sess_ys157bttz	anonymous	2026-03-24T02:43:46.839Z	B	Victory	1	0	1	0.25	TRUE	0.6173	0.3701	0.3347	1.0988	0.5152	0.6325	0.3799	0.6217	left
sess_ys157bttz	anonymous	2026-03-24T02:43:48.882Z	B	Victory	1	0	1	0.25	TRUE	0.6086	0.3985	0.3829	1.0548	0.5447	0.6269	0.3901	0.6446	left
